NAME                                           	NAMESPACE       	REVISION	UPDATED                              	STATUS  	CHART                             	APP VERSION
argocd                                         	argocd          	2       	2026-08-23 16:43:17.0813762 -0500 CDT	deployed	argo-cd-10.4.0                    	v3.5.1     
aws-load-balancer-controller                   	kube-system     	1       	2026-08-23 03:40:37.0769451 -0500 CDT	deployed	aws-load-balancer-controller-3.5.0	v3.5.0     
cert-manager                                   	cert-manager    	1       	2026-08-23 03:40:34.9107968 -0500 CDT	deployed	cert-manager-v1.21.0              	v1.21.0    
cloudhusller-commerce-platform-dev-external-dns	external-dns    	1       	2026-08-23 15:45:21.0151871 -0500 CDT	deployed	external-dns-1.21.1               	0.21.0     
external-secrets                               	external-secrets	1       	2026-08-23 03:40:35.9666923 -0500 CDT	deployed	external-secrets-2.4.1            	v2.4.1     
fluent-bit                                     	logging         	1       	2026-08-23 15:45:17.2752784 -0500 CDT	deployed	fluent-bit-0.57.9                 	5.0.9      
istio-base                                     	istio-system    	1       	2026-08-23 15:45:42.7720399 -0500 CDT	deployed	base-1.30.1                       	1.30.1     
istio-ingress                                  	istio-ingress   	1       	2026-08-23 17:21:14.8663222 -0500 CDT	deployed	gateway-1.30.1                    	1.30.1     
istiod                                         	istio-system    	1       	2026-08-23 15:45:54.9800757 -0500 CDT	deployed	istiod-1.30.1                     	1.30.1     
karpenter                                      	kube-system     	1       	2026-08-23 03:29:07.5691821 -0500 CDT	deployed	karpenter-1.14.0                  	1.14.0     
kube-prometheus-stack                          	monitoring      	3       	2026-08-23 15:40:39.4801094 -0500 CDT	deployed	kube-prometheus-stack-87.19.1     	v0.92.1    
loki                                           	logging         	1       	2026-08-23 15:45:33.7163171 -0500 CDT	failed  	loki-7.2.0                        	3.6.11     
metrics-server                                 	kube-system     	1       	2026-08-23 15:45:10.0389864 -0500 CDT	deployed	metrics-server-3.13.1             	0.8.1      
